"kappa","alpha_t","Fidelity"
20.,0.8200000000000001,0.9148152553263278
20.,0.8300000000000001,0.9141379027875473
20.,0.84,0.9134700530300375
20.,0.85,0.912811575367463
20.,0.86,0.9121623406456922
20.,0.87,0.9115222212520728
20.,0.88,0.9108910911214787
20.,0.89,0.9102688257394871
20.,0.9,0.9096553021430037
20.,0.91,0.9090503989186253
20.,0.92,0.9084539961989968
20.,0.93,0.9078659756573962
20.,0.9400000000000001,0.9072862205007529
20.,0.9500000000000001,0.9067146154612891
20.,0.96,0.9061510467869505
20.,0.97,0.9055954022307768
20.,0.98,0.9050475710393469
20.,0.99,0.9045074439404198
20.,1.,0.9039749131298798
20.,1.01,0.9034498722580833
20.,1.02,0.9029322164156934
20.,1.03,0.9024218421190808
20.,1.04,0.9019186472953611
20.,1.05,0.9014225312671289
20.,1.06,0.9009333947369481
20.,1.07,0.9004511397716433
20.,1.08,0.899975669786441
20.,1.09,0.8995068895289978
20.,1.1,0.8990447050633521
20.,1.11,0.8985890237538288
20.,1.12,0.8981397542489273
20.,1.1300000000000001,0.8976968064652169
20.,1.1400000000000001,0.8972600915712601
20.,1.1500000000000001,0.8968295219715845
20.,1.16,0.8964050112907216
20.,1.17,0.8959864743573243
20.,1.18,0.89557382718838
20.,1.19,0.895166986973529
20.,1.2,0.8947658720594989
20.,1.21,0.8943704019346632
20.,1.22,0.8939804972137335
20.,1.23,0.8935960796225902
20.,1.24,0.8932170719832582
20.,1.25,0.8928433981990318
20.,1.26,0.8924749832397556
20.,1.27,0.8921117531272591
20.,1.28,0.8917536349209548
20.,1.29,0.8914005567035961
20.,1.3,0.8910524475672006
20.,1.31,0.8907092375991386
20.,1.32,0.8903708578683877
20.,1.33,0.8900372404119545
20.,1.34,0.8897083182214637
20.,1.35,0.8893840252299144
20.,1.36,0.8890642962986035
20.,1.37,0.888749067204216
20.,1.3800000000000001,0.8884382746260808
20.,1.3900000000000001,0.8881318561335936
20.,1.4000000000000001,0.8878297501738014
20.,1.41,0.8875318960591527
20.,1.42,0.8872382339554088
20.,1.43,0.8869487048697171
20.,1.44,0.8866632506388417
20.,1.45,0.8863818139175557
20.,1.46,0.8861043381671863
