"r","t","Fidelity"
0.5,1.36,0.6133493079841305
0.5,1.37,0.6130197123956413
0.5,1.3800000000000001,0.6126982545512272
0.5,1.3900000000000001,0.6123847335292707
0.5,1.4000000000000001,0.6120789533689274
0.5,1.41,0.6117807229476429
0.5,1.42,0.6114898558616958
0.5,1.43,0.6112061703096887
0.5,1.44,0.610929488978917
0.5,1.45,0.6106596389345422
0.5,1.46,0.6103964515115021
0.5,1.47,0.6101397622090899
0.5,1.48,0.6098894105881357
0.5,1.49,0.6096452401707267
0.5,1.5,0.6094070983424036
0.5,1.51,0.6091748362567716
0.5,1.52,0.6089483087424662
0.5,1.53,0.6087273742124171
0.5,1.54,0.6085118945753508
0.5,1.55,0.6083017351494798
0.5,1.56,0.6080967645783217
0.5,1.57,0.6078968547485971
0.5,1.58,0.6077018807101547
0.5,1.59,0.6075117205978737
0.5,1.6,0.6073262555554937
0.5,1.61,0.6071453696613256
0.5,1.62,0.6069689498557974
0.5,1.6300000000000001,0.6067968858707876
0.5,1.6400000000000001,0.6066290701607044
0.5,1.6500000000000001,0.6064653978352663
0.5,1.6600000000000001,0.6063057665939418
0.5,1.67,0.6061500766620086
0.5,1.68,0.605998230728191
0.5,1.69,0.6058501338838377
0.5,1.7,0.6057056935635997
0.5,1.71,0.605564819487575
0.5,1.72,0.6054274236048803
0.5,1.73,0.6052934200386163
0.5,1.74,0.6051627250321919
0.5,1.75,0.6050352568969736
0.5,1.76,0.6049109359612274
0.5,1.77,0.6047896845203214
0.5,1.78,0.6046714267881581
0.5,1.79,0.6045560888498054
0.5,1.8,0.604443598615297
0.5,1.81,0.6043338857745745
0.5,1.82,0.604226881753541
0.5,1.83,0.6041225196712002
0.5,1.84,0.6040207342978534
0.5,1.85,0.6039214620143287
0.5,1.86,0.6038246407722174
0.5,1.87,0.6037302100550913
0.5,1.8800000000000001,0.6036381108406783
0.5,1.8900000000000001,0.6035482855639713
0.5,1.9000000000000001,0.6034606780812483
0.5,1.9100000000000001,0.6033752336349806
0.5,1.92,0.603291898819608
0.5,1.93,0.6032106215481581
0.5,1.94,0.6031313510196903
0.5,1.95,0.603054037687544
0.5,1.96,0.6029786332283698
0.5,1.97,0.602905090511926
0.5,1.98,0.6028333635716209
0.5,1.99,0.6027634075757818
0.5,2.,0.6026951787996342
0.5,2.0100000000000002,0.6026286345979718
0.5,2.02,0.6025637333785026
0.5,2.0300000000000002,0.6025004345758515
